Day,high_in_F,low_in_F,precip_in_inches,snow_in_inches
01/01/2023,55,49,0.00,0.0
01/02/2023,56,49,0.02,0.0
01/03/2023,58,47,0.42,0.0
01/04/2023,66,49,0.02,0.0
01/05/2023,50,44,0.01,0.0
01/06/2023,49,39,0.27,0.0
01/07/2023,45,37,0.00,0.0
01/08/2023,41,33,0.00,0.0
01/09/2023,44,37,0.01,0.0
01/10/2023,41,38,0.00,0.0
01/11/2023,39,35,0.00,0.0
01/12/2023,55,37,0.30,0.0
01/13/2023,57,38,0.09,0.0
01/14/2023,38,31,0.00,0.0
01/15/2023,41,30,0.00,0.0
01/16/2023,48,28,0.00,0.0
01/17/2023,47,35,0.00,0.0
01/18/2023,53,42,0.05,0.0
01/19/2023,44,40,0.87,0.0
01/20/2023,49,40,0.00,0.0
01/21/2023,42,37,0.00,0.0
01/22/2023,42,36,0.51,0.0
01/23/2023,39,36,0.41,0.0
01/24/2023,46,35,0.00,0.0
01/25/2023,54,35,0.90,0.0
01/26/2023,57,41,0.44,0.0
01/27/2023,44,35,0.00,0.0
01/28/2023,52,36,0.00,0.0
01/29/2023,53,42,0.00,0.0
01/30/2023,55,43,0.00,0.0
01/31/2023,50,31,0.06,0.0
02/01/2023,38,26,0.02,0.4
02/02/2023,40,29,0.00,0.0
02/03/2023,35,11,0.00,0.0
02/04/2023,27,3,0.00,0.0
02/05/2023,49,27,0.00,0.0
02/06/2023,52,34,0.00,0.0
02/07/2023,43,30,0.02,0.0
02/08/2023,53,39,0.00,0.0
02/09/2023,55,42,0.00,0.0
02/10/2023,61,45,0.00,0.0
02/11/2023,46,36,0.00,0.0
02/12/2023,48,38,0.01,0.0
02/13/2023,57,41,0.00,0.0
02/14/2023,54,40,0.00,0.0
02/15/2023,67,47,0.00,0.0
02/16/2023,70,56,0.07,0.0
02/17/2023,61,32,0.18,0.0
02/18/2023,43,27,0.00,0.0
02/19/2023,50,37,0.00,0.0
02/20/2023,61,47,0.00,0.0
02/21/2023,50,37,0.27,0.0
02/22/2023,44,37,0.14,0.0
02/23/2023,44,38,0.02,0.0
02/24/2023,45,25,0.00,0.0
02/25/2023,33,23,0.00,0.0
02/26/2023,50,30,0.00,0.0
02/27/2023,46,33,0.21,0.9
02/28/2023,38,32,0.34,0.9
03/01/2023,44,33,0.00,0.0
03/02/2023,54,39,0.00,0.0
03/03/2023,47,37,0.15,0.0
03/04/2023,45,38,0.99,0.0
03/05/2023,53,38,0.00,0.0
03/06/2023,52,40,0.00,0.0
03/07/2023,47,33,0.06,0.1
03/08/2023,48,31,0.00,0.0
03/09/2023,51,33,0.00,0.0
03/10/2023,46,35,0.36,0.0
03/11/2023,45,35,0.40,0.0
03/12/2023,48,34,0.00,0.0
03/13/2023,45,38,0.67,0.0
03/14/2023,38,33,0.13,0.0
03/15/2023,45,34,0.00,0.0
03/16/2023,59,34,0.00,0.0
03/17/2023,60,47,0.00,0.0
03/18/2023,56,40,0.02,0.0
03/19/2023,40,29,0.00,0.0
03/20/2023,51,31,0.00,0.0
03/21/2023,63,40,0.00,0.0
03/22/2023,62,48,0.00,0.0
03/23/2023,60,48,0.09,0.0
03/24/2023,55,44,0.00,0.0
03/25/2023,47,42,0.15,0.0
03/26/2023,63,44,0.00,0.0
03/27/2023,62,43,0.29,0.0
03/28/2023,52,42,0.00,0.0
03/29/2023,55,39,0.00,0.0
03/30/2023,46,31,0.01,0.0
03/30/2023,57,38,0.00,0.0
04/01/2023,72,51,0.38,0.0
04/02/2023,51,40,0.00,0.0
04/03/2023,59,39,0.00,0.0
04/04/2023,73,48,0.00,0.0
04/05/2023,57,46,0.00,0.0
04/06/2023,80,47,0.00,0.0
04/07/2023,60,42,0.00,0.0
04/08/2023,54,37,0.00,0.0
04/09/2023,57,40,0.00,0.0
04/10/2023,68,42,0.00,0.0
04/11/2023,75,51,0.00,0.0
04/12/2023,84,64,0.00,0.0
04/13/2023,90,67,0.00,0.0
04/14/2023,91,70,0.00,0.0
04/15/2023,75,59,0.02,0.0
04/16/2023,71,57,0.00,0.0
04/17/2023,68,53,0.00,0.0
04/18/2023,57,45,0.00,0.0
04/19/2023,64,45,0.00,0.0
04/20/2023,66,45,0.00,0.0
04/21/2023,71,51,0.00,0.0
04/22/2023,67,51,0.68,0.0
04/23/2023,69,50,1.51,0.0
04/24/2023,62,44,0.00,0.0
04/25/2023,60,46,0.00,0.0
04/26/2023,60,46,0.00,0.0
04/27/2023,57,49,0.00,0.0
04/28/2023,56,47,0.33,0.0
04/29/2023,53,47,2.46,0.0
04/30/2023,60,50,2.32,0.0
05/01/2023,61,49,0.09,0.0
05/02/2023,56,44,0.25,0.0
05/03/2023,57,47,0.00,0.0
05/04/2023,55,48,0.05,0.0
05/05/2023,66,48,0.00,0.0
05/06/2023,73,48,0.00,0.0
05/07/2023,78,54,0.02,0.0
05/08/2023,77,58,0.00,0.0
05/09/2023,71,54,0.00,0.0
05/10/2023,73,50,0.00,0.0
05/11/2023,80,57,0.00,0.0
05/12/2023,87,65,0.00,0.0
05/13/2023,82,66,0.00,0.0
05/14/2023,74,59,0.00,0.0
05/15/2023,74,52,0.00,0.0
05/16/2023,79,58,0.00,0.0
05/17/2023,69,50,0.00,0.0
05/18/2023,61,43,0.00,0.0
05/19/2023,70,52,0.00,0.0
05/20/2023,65,57,0.77,0.0
05/21/2023,70,55,0.02,0.0
05/22/2023,75,57,0.00,0.0
05/23/2023,70,54,0.00,0.0
05/24/2023,77,53,0.08,0.0
05/25/2023,68,50,0.00,0.0
05/26/2023,72,53,0.00,0.0
05/27/2023,78,56,0.00,0.0
05/28/2023,79,59,0.00,0.0
05/29/2023,79,59,0.00,0.0
05/30/2023,72,55,0.00,0.0
05/30/2023,77,51,0.00,0.0
06/01/2023,87,59,0.00,0.0
06/02/2023,91,66,0.24,0.0
06/03/2023,69,54,0.00,0.0
06/04/2023,69,49,0.00,0.0
06/05/2023,76,56,0.00,0.0
06/06/2023,79,60,0.00,0.0
06/07/2023,69,57,0.00,0.0
06/08/2023,72,55,0.00,0.0
06/09/2023,72,58,0.00,0.0
06/10/2023,78,58,0.00,0.0
06/11/2023,82,64,0.01,0.0
06/12/2023,78,66,0.30,0.0
06/13/2023,78,64,0.00,0.0
06/14/2023,76,63,0.14,0.0
06/15/2023,77,61,0.00,0.0
06/16/2023,79,63,0.23,0.0
06/17/2023,77,62,0.00,0.0
06/18/2023,80,62,0.00,0.0
06/19/2023,81,65,0.00,0.0
06/20/2023,78,64,0.00,0.0
06/21/2023,73,62,0.00,0.0
06/22/2023,72,60,0.00,0.0
06/23/2023,71,65,0.04,0.0
06/24/2023,78,69,0.07,0.0
06/25/2023,85,71,0.00,0.0
06/26/2023,78,68,0.51,0.0
06/27/2023,79,66,0.08,0.0
06/28/2023,82,66,0.00,0.0
06/29/2023,82,65,0.00,0.0
06/30/2023,84,70,0.00,0.0
07/01/2023,82,69,0.00,0.0
07/02/2023,88,70,0.58,0.0
07/03/2023,89,72,0.45,0.0
07/04/2023,83,73,0.63,0.0
07/05/2023,93,72,0.00,0.0
07/06/2023,90,75,0.00,0.0
07/07/2023,87,74,0.00,0.0
07/08/2023,88,76,0.00,0.0
07/09/2023,82,72,0.98,0.0
07/10/2023,84,71,0.00,0.0
07/11/2023,89,68,0.00,0.0
07/12/2023,91,76,0.00,0.0
07/13/2023,88,77,0.00,0.0
07/14/2023,84,71,0.48,0.0
07/15/2023,88,71,0.04,0.0
07/16/2023,78,74,1.32,0.0
07/17/2023,88,74,0.00,0.0
07/18/2023,84,73,0.22,0.0
07/19/2023,80,72,0.00,0.0
07/20/2023,88,72,0.00,0.0
07/21/2023,84,71,0.15,0.0
07/22/2023,85,70,0.00,0.0
07/23/2023,88,69,0.00,0.0
07/24/2023,85,74,0.00,0.0
07/25/2023,86,68,0.28,0.0
07/26/2023,87,68,0.00,0.0
07/27/2023,92,75,0.15,0.0
07/28/2023,92,75,0.00,0.0
07/29/2023,89,70,0.06,0.0
07/30/2023,80,66,0.00,0.0
07/30/2023,85,66,0.00,0.0
08/01/2023,82,65,0.00,0.0
08/02/2023,81,64,0.00,0.0
08/03/2023,80,66,0.00,0.0
08/04/2023,77,71,0.00,0.0
08/05/2023,87,71,0.00,0.0
08/06/2023,87,69,0.00,0.0
08/07/2023,81,68,1.12,0.0
08/08/2023,80,70,0.01,0.0
08/09/2023,86,69,0.00,0.0
08/10/2023,81,70,0.48,0.0
08/11/2023,85,67,0.00,0.0
08/12/2023,85,69,0.00,0.0
08/13/2023,88,69,0.69,0.0
08/14/2023,87,72,0.02,0.0
08/15/2023,80,70,0.77,0.0
08/16/2023,82,69,1.33,0.0
08/17/2023,79,72,0.00,0.0
08/18/2023,80,65,0.77,0.0
08/19/2023,78,63,0.00,0.0
08/20/2023,85,66,0.00,0.0
08/21/2023,88,73,0.00,0.0
08/22/2023,79,67,0.00,0.0
08/23/2023,80,64,0.00,0.0
08/24/2023,73,67,0.14,0.0
08/25/2023,78,69,0.44,0.0
08/26/2023,84,73,0.52,0.0
08/27/2023,84,70,0.00,0.0
08/28/2023,76,69,0.00,0.0
08/29/2023,80,68,0.00,0.0
08/30/2023,83,68,0.27,0.0
08/30/2023,77,64,0.00,0.0
09/01/2023,76,61,0.00,0.0
09/02/2023,79,62,0.00,0.0
09/03/2023,88,68,0.00,0.0
09/04/2023,89,73,0.00,0.0
09/05/2023,92,75,0.00,0.0
09/06/2023,93,77,0.00,0.0
09/07/2023,93,76,0.00,0.0
09/08/2023,90,71,0.10,0.0
09/09/2023,84,70,0.02,0.0
09/10/2023,77,69,1.80,0.0
09/11/2023,82,69,1.66,0.0
09/12/2023,82,68,0.00,0.0
09/13/2023,79,70,0.22,0.0
09/14/2023,77,63,0.00,0.0
09/15/2023,69,58,0.00,0.0
09/16/2023,75,60,0.00,0.0
09/17/2023,77,59,0.21,0.0
09/18/2023,68,60,1.34,0.0
09/19/2023,72,58,0.00,0.0
09/20/2023,74,58,0.00,0.0
09/21/2023,71,57,0.00,0.0
09/22/2023,71,59,0.00,0.0
09/23/2023,63,57,0.96,0.0
09/24/2023,66,62,1.25,0.0
09/25/2023,66,57,0.59,0.0
09/26/2023,60,54,0.20,0.0
09/27/2023,64,50,0.00,0.0
09/28/2023,65,56,0.38,0.0
09/29/2023,63,59,5.48,0.0
09/30/2023,66,57,0.04,0.0
10/01/2023,76,59,0.00,0.0
10/02/2023,77,63,0.00,0.0
10/03/2023,80,61,0.00,0.0
10/04/2023,83,66,0.00,0.0
10/05/2023,77,62,0.00,0.0
10/06/2023,71,67,0.14,0.0
10/07/2023,69,53,0.35,0.0
10/08/2023,59,50,0.00,0.0
10/09/2023,60,49,0.00,0.0
10/10/2023,63,52,0.02,0.0
10/11/2023,69,55,0.00,0.0
10/12/2023,69,53,0.00,0.0
10/13/2023,63,51,0.00,0.0
10/14/2023,56,49,0.81,0.0
