Day,High (°F),Low (°F),Precip. (inches),Snow (inches)
January 1,55,49,0.00,0.0
January 2,56,49,0.02,0.0
January 3,58,47,0.42,0.0
January 4,66,49,0.02,0.0
January 5,50,44,0.01,0.0
January 6,49,39,0.27,0.0
January 7,45,37,0.00,0.0
January 8,41,33,0.00,0.0
January 9,44,37,0.01,0.0
January 10,41,38,0.00,0.0
January 11,39,35,0.00,0.0
January 12,55,37,0.30,0.0
January 13,57,38,0.09,0.0
January 14,38,31,0.00,0.0
January 15,41,30,0.00,0.0
January 16,48,28,0.00,0.0
January 17,47,35,0.00,0.0
January 18,53,42,0.05,0.0
January 19,44,40,0.87,0.0
January 20,49,40,0.00,0.0
January 21,42,37,0.00,0.0
January 22,42,36,0.51,0.0
January 23,39,36,0.41,0.0
January 24,46,35,0.00,0.0
January 25,54,35,0.90,0.0
January 26,57,41,0.44,0.0
January 27,44,35,0.00,0.0
January 28,52,36,0.00,0.0
January 29,53,42,0.00,0.0
January 30,55,43,0.00,0.0
January 31,50,31,0.06,0.0
February 1,38,26,0.02,0.4
February 2,40,29,0.00,0.0
February 3,35,11,0.00,0.0
February 4,27,3,0.00,0.0
February 5,49,27,0.00,0.0
February 6,52,34,0.00,0.0
February 7,43,30,0.02,0.0
February 8,53,39,0.00,0.0
February 9,55,42,0.00,0.0
February 10,61,45,0.00,0.0
February 11,46,36,0.00,0.0
February 12,48,38,0.01,0.0
February 13,57,41,0.00,0.0
February 14,54,40,0.00,0.0
February 15,67,47,0.00,0.0
February 16,70,56,0.07,0.0
February 17,61,32,0.18,0.0
February 18,43,27,0.00,0.0
February 19,50,37,0.00,0.0
February 20,61,47,0.00,0.0
February 21,50,37,0.27,0.0
February 22,44,37,0.14,0.0
February 23,44,38,0.02,0.0
February 24,45,25,0.00,0.0
February 25,33,23,0.00,0.0
February 26,50,30,0.00,0.0
February 27,46,33,0.21,0.9
February 28,38,32,0.34,0.9
March 1,44,33,0.00,0.0
March 2,54,39,0.00,0.0
March 3,47,37,0.15,0.0
March 4,45,38,0.99,0.0
March 5,53,38,0.00,0.0
March 6,52,40,0.00,0.0
March 7,47,33,0.06,0.1
March 8,48,31,0.00,0.0
March 9,51,33,0.00,0.0
March 10,46,35,0.36,0.0
March 11,45,35,0.40,0.0
March 12,48,34,0.00,0.0
March 13,45,38,0.67,0.0
March 14,38,33,0.13,0.0
March 15,45,34,0.00,0.0
March 16,59,34,0.00,0.0
March 17,60,47,0.00,0.0
March 18,56,40,0.02,0.0
March 19,40,29,0.00,0.0
March 20,51,31,0.00,0.0
March 21,63,40,0.00,0.0
March 22,62,48,0.00,0.0
March 23,60,48,0.09,0.0
March 24,55,44,0.00,0.0
March 25,47,42,0.15,0.0
March 26,63,44,0.00,0.0
March 27,62,43,0.29,0.0
March 28,52,42,0.00,0.0
March 29,55,39,0.00,0.0
March 30,46,31,0.01,0.0
March 31,57,38,0.00,0.0
April 1,72,51,0.38,0.0
April 2,51,40,0.00,0.0
April 3,59,39,0.00,0.0
April 4,73,48,0.00,0.0
April 5,57,46,0.00,0.0
April 6,80,47,0.00,0.0
April 7,60,42,0.00,0.0
April 8,54,37,0.00,0.0
April 9,57,40,0.00,0.0
April 10,68,42,0.00,0.0
April 11,75,51,0.00,0.0
April 12,84,64,0.00,0.0
April 13,90,67,0.00,0.0
April 14,91,70,0.00,0.0
April 15,75,59,0.02,0.0
April 16,71,57,0.00,0.0
April 17,68,53,0.00,0.0
April 18,57,45,0.00,0.0
April 19,64,45,0.00,0.0
April 20,66,45,0.00,0.0
April 21,71,51,0.00,0.0
April 22,67,51,0.68,0.0
April 23,69,50,1.51,0.0
April 24,62,44,0.00,0.0
April 25,60,46,0.00,0.0
April 26,60,46,0.00,0.0
April 27,57,49,0.00,0.0
April 28,56,47,0.33,0.0
April 29,53,47,2.46,0.0
April 30,60,50,2.32,0.0
May 1,61,49,0.09,0.0
May 2,56,44,0.25,0.0
May 3,57,47,0.00,0.0
May 4,55,48,0.05,0.0
May 5,66,48,0.00,0.0
May 6,73,48,0.00,0.0
May 7,78,54,0.02,0.0
May 8,77,58,0.00,0.0
May 9,71,54,0.00,0.0
May 10,73,50,0.00,0.0
May 11,80,57,0.00,0.0
May 12,87,65,0.00,0.0
May 13,82,66,0.00,0.0
May 14,74,59,0.00,0.0
May 15,74,52,0.00,0.0
May 16,79,58,0.00,0.0
May 17,69,50,0.00,0.0
May 18,61,43,0.00,0.0
May 19,70,52,0.00,0.0
May 20,65,57,0.77,0.0
May 21,70,55,0.02,0.0
May 22,75,57,0.00,0.0
May 23,70,54,0.00,0.0
May 24,77,53,0.08,0.0
May 25,68,50,0.00,0.0
May 26,72,53,0.00,0.0
May 27,78,56,0.00,0.0
May 28,79,59,0.00,0.0
May 29,79,59,0.00,0.0
May 30,72,55,0.00,0.0
May 31,77,51,0.00,0.0
June 1,87,59,0.00,0.0
June 2,91,66,0.24,0.0
June 3,69,54,0.00,0.0
June 4,69,49,0.00,0.0
June 5,76,56,0.00,0.0
June 6,79,60,0.00,0.0
June 7,69,57,0.00,0.0
June 8,72,55,0.00,0.0
June 9,72,58,0.00,0.0
June 10,78,58,0.00,0.0
June 11,82,64,0.01,0.0
June 12,78,66,0.30,0.0
June 13,78,64,0.00,0.0
June 14,76,63,0.14,0.0
June 15,77,61,0.00,0.0
June 16,79,63,0.23,0.0
June 17,77,62,0.00,0.0
June 18,80,62,0.00,0.0
June 19,81,65,0.00,0.0
June 20,78,64,0.00,0.0
June 21,73,62,0.00,0.0
June 22,72,60,0.00,0.0
June 23,71,65,0.04,0.0
June 24,78,69,0.07,0.0
June 25,85,71,0.00,0.0
June 26,78,68,0.51,0.0
June 27,79,66,0.08,0.0
June 28,82,66,0.00,0.0
June 29,82,65,0.00,0.0
June 30,84,70,0.00,0.0
July 1,82,69,0.00,0.0
July 2,88,70,0.58,0.0
July 3,89,72,0.45,0.0
July 4,83,73,0.63,0.0
July 5,93,72,0.00,0.0
July 6,90,75,0.00,0.0
July 7,87,74,0.00,0.0
July 8,88,76,0.00,0.0
July 9,82,72,0.98,0.0
July 10,84,71,0.00,0.0
July 11,89,68,0.00,0.0
July 12,91,76,0.00,0.0
July 13,88,77,0.00,0.0
July 14,84,71,0.48,0.0
July 15,88,71,0.04,0.0
July 16,78,74,1.32,0.0
July 17,88,74,0.00,0.0
July 18,84,73,0.22,0.0
July 19,80,72,0.00,0.0
July 20,88,72,0.00,0.0
July 21,84,71,0.15,0.0
July 22,85,70,0.00,0.0
July 23,88,69,0.00,0.0
July 24,85,74,0.00,0.0
July 25,86,68,0.28,0.0
July 26,87,68,0.00,0.0
July 27,92,75,0.15,0.0
July 28,92,75,0.00,0.0
July 29,89,70,0.06,0.0
July 30,80,66,0.00,0.0
July 31,85,66,0.00,0.0
August 1,82,65,0.00,0.0
August 2,81,64,0.00,0.0
August 3,80,66,0.00,0.0
August 4,77,71,0.00,0.0
August 5,87,71,0.00,0.0
August 6,87,69,0.00,0.0
August 7,81,68,1.12,0.0
August 8,80,70,0.01,0.0
August 9,86,69,0.00,0.0
August 10,81,70,0.48,0.0
August 11,85,67,0.00,0.0
August 12,85,69,0.00,0.0
August 13,88,69,0.69,0.0
August 14,87,72,0.02,0.0
August 15,80,70,0.77,0.0
August 16,82,69,1.33,0.0
August 17,79,72,0.00,0.0
August 18,80,65,0.77,0.0
August 19,78,63,0.00,0.0
August 20,85,66,0.00,0.0
August 21,88,73,0.00,0.0
August 22,79,67,0.00,0.0
August 23,80,64,0.00,0.0
August 24,73,67,0.14,0.0
August 25,78,69,0.44,0.0
August 26,84,73,0.52,0.0
August 27,84,70,0.00,0.0
August 28,76,69,0.00,0.0
August 29,80,68,0.00,0.0
August 30,83,68,0.27,0.0
August 31,77,64,0.00,0.0
September 1,76,61,0.00,0.0
September 2,79,62,0.00,0.0
September 3,88,68,0.00,0.0
September 4,89,73,0.00,0.0
September 5,92,75,0.00,0.0
September 6,93,77,0.00,0.0
September 7,93,76,0.00,0.0
September 8,90,71,0.10,0.0
September 9,84,70,0.02,0.0
September 10,77,69,1.80,0.0
September 11,82,69,1.66,0.0
September 12,82,68,0.00,0.0
September 13,79,70,0.22,0.0
September 14,77,63,0.00,0.0
September 15,69,58,0.00,0.0
September 16,75,60,0.00,0.0
September 17,77,59,0.21,0.0
September 18,68,60,1.34,0.0
September 19,72,58,0.00,0.0
September 20,74,58,0.00,0.0
